x,y,z,data
0.55,0,0.05,0.9998678
0.55,0,0.0625,0.9998895
0.55,0,0.075,0.99989474
0.55,0,0.0875,0.9998826
0.55,0,0.1,0.9998591
0.55,0,0.1125,0.99975634
0.55,0,0.125,0.9992633
0.55,0,0.1375,0.9962021
0.55,0,0.15,0.97844195
0.55,0,0.1625,0.9112753
0.55,0,0.175,0.7411971
0.55,0,0.1875,0.71645874
0.55,0,0.2,0.6240201
0.55,0,0.2125,0.44473302
0.55,0,0.225,0.39311638
0.55,0,0.2375,0.23071924
0.55,0,0.25,0.21140854
0.6,0,0.0,0.99971354
0.6,0,0.0125,0.9998642
0.6,0,0.025,0.99989456
0.6,0,0.0375,0.9999225
0.6,0,0.05,0.9999455
0.6,0,0.0625,0.9999528
0.6,0,0.075,0.9999516
0.6,0,0.0875,0.9999465
0.6,0,0.1,0.9998952
0.6,0,0.1125,0.9997051
0.6,0,0.125,0.99888957
0.6,0,0.1375,0.9959923
0.6,0,0.15,0.9851974
0.6,0,0.1625,0.95049304
0.6,0,0.175,0.81672454
0.6,0,0.1875,0.49839273
0.6,0,0.2,0.49587643
0.6,0,0.2125,0.4885698
0.6,0,0.225,0.47446716
0.6,0,0.2375,0.4432797
0.6,0,0.25,0.3712868
0.65,0,0.0,0.9992485
0.65,0,0.0125,0.9995305
0.65,0,0.025,0.99967146
0.65,0,0.0375,0.9997767
0.65,0,0.05,0.999846
0.65,0,0.0625,0.999858
0.65,0,0.075,0.99982417
0.65,0,0.0875,0.9997681
0.65,0,0.1,0.9996447
0.65,0,0.1125,0.9993465
0.65,0,0.125,0.9984073
0.65,0,0.1375,0.99617696
0.65,0,0.15,0.98622
0.65,0,0.1625,0.9534802
0.65,0,0.175,0.83512735
0.65,0,0.1875,0.41611987
0.65,0,0.2,0.2312797
0.65,0,0.2125,0.20972705
0.65,0,0.225,0.19100736
0.65,0,0.2375,0.1610703
0.65,0,0.25,0.0
0.7,0,0.0,0.9990332
0.7,0,0.0125,0.9994482
0.7,0,0.025,0.9996033
0.7,0,0.0375,0.9996768
0.7,0,0.05,0.9997618
0.7,0,0.0625,0.999771
0.7,0,0.075,0.9996887
0.7,0,0.0875,0.9995983
0.7,0,0.1,0.9993074
0.7,0,0.1125,0.998175
0.7,0,0.125,0.99449223
0.7,0,0.1375,0.9822505
0.7,0,0.15,0.94304013
0.7,0,0.1625,0.8493603
0.7,0,0.175,0.46813145
0.7,0,0.1875,0.41030934
0.7,0,0.2,0.22869821
0.7,0,0.2125,0.20583083
0.7,0,0.225,0.18361829
0.7,0,0.2375,0.15650344
0.7,0,0.25,0.0
0.75,0,0.0,0.9931972
0.75,0,0.0125,0.9948461
0.75,0,0.025,0.9976808
0.75,0,0.0375,0.9992632
0.75,0,0.05,0.99961394
0.75,0,0.0625,0.99968636
0.75,0,0.075,0.9996656
0.75,0,0.0875,0.9995602
0.75,0,0.1,0.9991612
0.75,0,0.1125,0.99796104
0.75,0,0.125,0.9945972
0.75,0,0.1375,0.98524904
0.75,0,0.15,0.9631522
0.75,0,0.1625,0.904536
0.75,0,0.175,0.46852207
0.75,0,0.1875,0.41894686
0.75,0,0.2,0.22556253
0.75,0,0.2125,0.20695515
0.75,0,0.225,0.18157236
0.75,0,0.2375,0.14822209
0.75,0,0.25,0.0
0.8,0,0.0,0.9985714
0.8,0,0.0125,0.9986446
0.8,0,0.025,0.9993558
0.8,0,0.0375,0.9995215
0.8,0,0.05,0.99964786
0.8,0,0.0625,0.9997047
0.8,0,0.075,0.99967784
0.8,0,0.0875,0.9995307
0.8,0,0.1,0.99908125
0.8,0,0.1125,0.99785113
0.8,0,0.125,0.99446136
0.8,0,0.1375,0.98119015
0.8,0,0.15,0.9353493
0.8,0,0.1625,0.80783427
0.8,0,0.175,0.41869617
0.8,0,0.1875,0.22015698
0.8,0,0.2,0.18826894
0.8,0,0.2125,0.14037701
0.8,0,0.225,0.0
0.8,0,0.2375,0.0
0.8,0,0.25,0.0
0.85,0,0.0,0.99847144
0.85,0,0.0125,0.99933684
0.85,0,0.025,0.9995442
0.85,0,0.0375,0.99967086
0.85,0,0.05,0.9997654
0.85,0,0.0625,0.99979085
0.85,0,0.075,0.999757
0.85,0,0.0875,0.999681
0.85,0,0.1,0.99945563
0.85,0,0.1125,0.99901015
0.85,0,0.125,0.99660957
0.85,0,0.1375,0.9864962
0.85,0,0.15,0.954112
0.85,0,0.1625,0.8477132
0.85,0,0.175,0.39615706
0.85,0,0.1875,0.18207532
0.85,0,0.2,0.12987828
0.85,0,0.2125,0.0
0.85,0,0.225,0.0
0.85,0,0.2375,0.0
0.85,0,0.25,0.0
0.9,0,0.0,0.99958855
0.9,0,0.0125,0.9997951
0.9,0,0.025,0.9998425
0.9,0,0.0375,0.99987406
0.9,0,0.05,0.99991316
0.9,0,0.0625,0.99993163
0.9,0,0.075,0.9999312
0.9,0,0.0875,0.9999112
0.9,0,0.1,0.99981034
0.9,0,0.1125,0.9993123
0.9,0,0.125,0.99709266
0.9,0,0.1375,0.98741364
0.9,0,0.15,0.9502095
0.9,0,0.1625,0.85515916
0.9,0,0.175,0.49942362
0.9,0,0.1875,0.4981854
0.9,0,0.2,0.49468848
0.9,0,0.2125,0.4850733
0.9,0,0.225,0.46748695
0.9,0,0.2375,0.43202287
0.9,0,0.25,0.24456039
0.95,0,0.0,0.9996412
0.95,0,0.0125,0.9998223
0.95,0,0.025,0.9998673
0.95,0,0.0375,0.99988604
0.95,0,0.05,0.99991333
0.95,0,0.0625,0.9999218
0.95,0,0.075,0.9998629
0.95,0,0.0875,0.9997339
0.95,0,0.1,0.99917704
0.95,0,0.1125,0.996305
0.95,0,0.125,0.9859959
0.95,0,0.1375,0.9504288
0.95,0,0.15,0.8389205
0.95,0,0.1625,0.49979532
0.95,0,0.175,0.49947065
0.95,0,0.1875,0.4983519
0.95,0,0.2,0.49523675
0.95,0,0.2125,0.48795378
0.95,0,0.225,0.472019
0.95,0,0.2375,0.43573672
0.95,0,0.25,0.37831694
