x,y,z,data
0.7,0,0.125,0.0049661896
0.7,0,0.1375,0.016189937
0.7,0,0.15,0.05238945
0.7,0,0.1625,0.1330485
0.7,0,0.175,0.4694548
0.7,0,0.1875,0.42267376
0.7,0,0.2,0.3961169
0.7,0,0.2125,0.35650945
0.7,0,0.225,0.3180362
0.7,0,0.2375,0.2710719
0.7,0,0.25,0.0
0.75,0,0.0,0.0033741298
0.75,0,0.0125,0.003889085
0.75,0,0.025,0.0016259274
0.75,0,0.0375,0.00019991882
0.75,0,0.05,3.222265e-05
0.75,0,0.0625,6.741516e-05
0.75,0,0.075,0.00012981147
0.75,0,0.0875,0.00016458204
0.75,0,0.1,0.0004344514
0.75,0,0.1125,0.0013926921
0.75,0,0.125,0.0042594327
0.75,0,0.1375,0.011068639
0.75,0,0.15,0.02727561
0.75,0,0.1625,0.07150948
0.75,0,0.175,0.46917793
0.75,0,0.1875,0.42547876
0.75,0,0.2,0.39068577
0.75,0,0.2125,0.35845685
0.75,0,0.225,0.31449255
0.75,0,0.2375,0.2567282
0.75,0,0.25,0.0
0.8,0,0.0,4.5627366e-05
0.8,0,0.0125,0.00067510514
0.8,0,0.025,8.865103e-05
0.8,0,0.0375,6.640281e-05
0.8,0,0.05,5.607067e-05
0.8,0,0.0625,7.7306526e-05
0.8,0,0.075,0.00011537087
0.8,0,0.0875,0.0001623621
0.8,0,0.1,0.00040286104
0.8,0,0.1125,0.0013894008
0.8,0,0.125,0.004099562
0.8,0,0.1375,0.015222017
0.8,0,0.15,0.052942574
0.8,0,0.1625,0.15241143
0.8,0,0.175,0.42653558
0.8,0,0.1875,0.38132307
0.8,0,0.2,0.32609138
0.8,0,0.2125,0.24314012
0.8,0,0.225,0.0
0.8,0,0.2375,0.0
0.8,0,0.25,0.0
0.85,0,0.0,0.0003477335
0.85,0,0.0125,0.0002900483
0.85,0,0.025,0.0001561599
0.85,0,0.0375,9.911567e-05
0.85,0,0.05,7.9296304e-05
0.85,0,0.0625,9.917756e-05
0.85,0,0.075,0.00015793678
0.85,0,0.0875,0.00020307842
0.85,0,0.1,0.00024208087
0.85,0,0.1125,0.00027069234
0.85,0,0.125,0.0016941114
0.85,0,0.1375,0.008369726
0.85,0,0.15,0.029908283
0.85,0,0.1625,0.09327709
0.85,0,0.175,0.40057656
0.85,0,0.1875,0.3153637
0.85,0,0.2,0.22495578
0.85,0,0.2125,0.0
0.85,0,0.225,0.0
0.85,0,0.2375,0.0
0.85,0,0.25,0.0
0.9,0,0.0,0.0001989901
0.9,0,0.0125,5.7205663e-05
0.9,0,0.025,3.4747234e-05
0.9,0,0.0375,3.3726054e-05
0.9,0,0.05,2.1484395e-05
0.9,0,0.0625,2.6618063e-05
0.9,0,0.075,3.9622657e-05
0.9,0,0.0875,6.627024e-05
0.9,0,0.1,0.00017340117
0.9,0,0.1125,0.0007149726
0.9,0,0.125,0.0030024478
0.9,0,0.1375,0.012574446
0.9,0,0.15,0.049673505
0.9,0,0.1625,0.14503296
0.9,0,0.175,0.49942407
0.9,0,0.1875,0.49819085
0.9,0,0.2,0.4947395
0.9,0,0.2125,0.48547983
0.9,0,0.225,0.46946737
0.9,0,0.2375,0.44123787
0.9,0,0.25,0.42359105
0.95,0,0.0,0.00011298061
0.95,0,0.0125,1.6430084e-05
0.95,0,0.025,1.46456505e-05
0.95,0,0.0375,2.0942276e-05
0.95,0,0.05,1.9187697e-05
0.95,0,0.0625,3.3918448e-05
0.95,0,0.075,0.00012750902
0.95,0,0.0875,0.0002792316
0.95,0,0.1,0.00090599153
0.95,0,0.1125,0.0040642316
0.95,0,0.125,0.01481998
0.95,0,0.1375,0.049563013
0.95,0,0.15,0.16087864
0.95,0,0.1625,0.49979535
0.95,0,0.175,0.49947098
0.95,0,0.1875,0.4983557
0.95,0,0.2,0.49527058
0.95,0,0.2125,0.48817948
0.95,0,0.225,0.4733079
0.95,0,0.2375,0.44298047
0.95,0,0.25,0.4060979
