x,y,z,data
0.55,0,0.1875,0.99754626
0.55,0,0.2,0.9927724
0.55,0,0.2125,0.9789448
0.55,0,0.225,0.95934635
0.55,0,0.2375,0.92287695
0.55,0,0.25,0.84563416
0.6,0,0.0,0.00039756298
0.6,0,0.0125,0.00015455484
0.6,0,0.025,0.000101685524
0.6,0,0.0375,8.237362e-05
0.6,0,0.05,5.1140785e-05
0.6,0,0.0625,6.6399574e-05
0.6,0,0.075,8.356571e-05
0.6,0,0.0875,0.00010347366
0.6,0,0.1,0.00026744604
0.6,0,0.1125,0.00081312656
0.6,0,0.125,0.0031761527
0.6,0,0.1375,0.010368824
0.6,0,0.15,0.03534025
0.6,0,0.1625,0.11118281
0.6,0,0.175,0.3702345
0.6,0,0.1875,0.999503
0.6,0,0.2,0.99879575
0.6,0,0.2125,0.9973411
0.6,0,0.225,0.99428236
0.6,0,0.2375,0.9868787
0.6,0,0.25,0.9702037
0.65,0,0.0,7.015467e-05
0.65,0,0.0125,0.0002899766
0.65,0,0.025,0.00018107891
0.65,0,0.0375,0.00013107061
0.65,0,0.05,7.945299e-05
0.65,0,0.0625,0.0001463294
0.65,0,0.075,0.00019997358
0.65,0,0.0875,0.00022614002
0.65,0,0.1,0.00023287535
0.65,0,0.1125,0.0006136894
0.65,0,0.125,0.00217247
0.65,0,0.1375,0.0051482916
0.65,0,0.15,0.02327764
0.65,0,0.1625,0.07416189
0.65,0,0.175,0.26147068
0.65,0,0.1875,0.9714515
0.65,0,0.2,0.9251188
0.65,0,0.2125,0.8389082
0.65,0,0.225,0.76402944
0.65,0,0.2375,0.6442812
0.65,0,0.25,0.0
0.7,0,0.0,0.00033050776
0.7,0,0.0125,0.00012922287
0.7,0,0.025,5.930662e-05
0.7,0,0.0375,0.00017464161
0.7,0,0.05,0.00012260675
0.7,0,0.0625,0.0001591444
0.7,0,0.075,0.0002477169
0.7,0,0.0875,0.00039047003
0.7,0,0.1,0.0008906722
0.7,0,0.1125,0.0032615066
0.7,0,0.125,0.012299299
0.7,0,0.1375,0.037545025
0.7,0,0.15,0.118085444
0.7,0,0.1625,0.29411095
0.7,0,0.175,0.9860772
0.7,0,0.1875,0.9641414
0.7,0,0.2,0.91479284
0.7,0,0.2125,0.8233233
0.7,0,0.225,0.73447317
0.7,0,0.2375,0.62601376
0.7,0,0.25,0.0
0.75,0,0.0,0.006748259
0.75,0,0.0125,0.00867027
0.75,0,0.025,0.0036373138
0.75,0,0.0375,0.00049227476
0.75,0,0.05,8.016825e-05
0.75,0,0.0625,0.00018441677
0.75,0,0.075,0.00033020973
0.75,0,0.0875,0.00044435263
0.75,0,0.1,0.0011798143
0.75,0,0.1125,0.003388524
0.75,0,0.125,0.010203302
0.75,0,0.1375,0.025048256
0.75,0,0.15,0.060063243
0.75,0,0.1625,0.15971965
0.75,0,0.175,0.9721158
0.75,0,0.1875,0.9429244
0.75,0,0.2,0.9022501
0.75,0,0.2125,0.8278206
0.75,0,0.225,0.72628945
0.75,0,0.2375,0.59288836
0.75,0,0.25,0.0
0.8,0,0.0,9.125471e-05
0.8,0,0.0125,0.0017454624
0.8,0,0.025,0.00022536516
0.8,0,0.0375,0.00015330315
0.8,0,0.05,0.0001386404
0.8,0,0.0625,0.000213027
0.8,0,0.075,0.00026232004
0.8,0,0.0875,0.00037306547
0.8,0,0.1,0.0011131763
0.8,0,0.1125,0.003559947
0.8,0,0.125,0.009761274
0.8,0,0.1375,0.034970343
0.8,0,0.15,0.12901199
0.8,0,0.1625,0.38974875
0.8,0,0.175,0.9525109
0.8,0,0.1875,0.88062793
0.8,0,0.2,0.7530758
0.8,0,0.2125,0.56150806
0.8,0,0.225,0.0
0.8,0,0.2375,0.0
0.8,0,0.25,0.0
0.85,0,0.0,0.000695467
0.85,0,0.0125,0.0007299185
0.85,0,0.025,0.00039303303
0.85,0,0.0375,0.00025063753
0.85,0,0.05,0.00020062923
0.85,0,0.0625,0.0002645254
0.85,0,0.075,0.00041222572
0.85,0,0.0875,0.0005210042
0.85,0,0.1,0.0006018281
0.85,0,0.1125,0.0006784797
0.85,0,0.125,0.0038753748
0.85,0,0.1375,0.020127296
0.85,0,0.15,0.07184821
0.85,0,0.1625,0.2214334
0.85,0,0.175,0.8762326
0.85,0,0.1875,0.7283013
0.85,0,0.2,0.51951313
0.85,0,0.2125,0.0
0.85,0,0.225,0.0
0.85,0,0.2375,0.0
0.85,0,0.25,0.0
0.9,0,0.0,0.0003979802
0.9,0,0.0125,0.0001463294
0.9,0,0.025,8.3982944e-05
0.9,0,0.0375,9.2327595e-05
0.9,0,0.05,5.7458878e-05
0.9,0,0.0625,6.341934e-05
0.9,0,0.075,9.6559525e-05
0.9,0,0.0875,0.00016504526
0.9,0,0.1,0.00042778254
0.9,0,0.1125,0.001747191
0.9,0,0.125,0.0070878863
0.9,0,0.1375,0.027298748
0.9,0,0.15,0.10434455
0.9,0,0.1625,0.3086388
0.9,0,0.175,0.99981683
0.9,0,0.1875,0.99966264
0.9,0,0.2,0.99942756
0.9,0,0.2125,0.99823797
0.9,0,0.225,0.9958929
0.9,0,0.2375,0.9909087
0.9,0,0.25,0.97824156
0.95,0,0.0,0.00022596121
0.95,0,0.0125,4.0113926e-05
0.95,0,0.025,3.886223e-05
0.95,0,0.0375,5.7578087e-05
0.95,0,0.05,5.1617622e-05
0.95,0,0.0625,8.225441e-05
0.95,0,0.075,0.0003157854
0.95,0,0.0875,0.000690639
0.95,0,0.1,0.0022190213
0.95,0,0.1125,0.009846628
0.95,0,0.125,0.035029054
0.95,0,0.1375,0.10352594
0.95,0,0.15,0.32509094
0.95,0,0.1625,0.9998362
0.95,0,0.175,0.99972874
0.95,0,0.1875,0.99945253
0.95,0,0.2,0.9986565
0.95,0,0.2125,0.99689674
0.95,0,0.225,0.99340314
0.95,0,0.2375,0.98430264
0.95,0,0.25,0.9654007
