offsetNano,x,y,z
950813832,0.9576874,-5.3869476,8.973465
955849232,0.91937256,-5.372589,8.947128
960884632,0.86190796,-5.3223114,8.930374
965920033,0.82121277,-5.276825,8.916
970955433,0.79966736,-5.228943,8.935165
976021351,0.79966736,-5.1571045,8.959106
981056752,0.8236084,-5.099655,8.971069
986092152,0.8595123,-5.0661316,8.954315
991127552,0.885849,-5.1164093,8.973465
996162953,0.9505005,-5.2193604,9.004593
1001198353,1.0510559,-5.3462524,9.083603
1006264271,1.1396332,-5.458786,9.095566
1011299671,1.2042847,-5.5593414,8.990234
1016335072,1.2497711,-5.6383514,8.884888
1021370472,1.2402039,-5.6551056,8.748413
1026405873,1.1875305,-5.5928497,8.587997
1031471791,1.1420288,-5.4970856,8.408432
1036507191,1.1109161,-5.379776,8.286331
1041542591,1.098938,-5.252884,8.24324
1046577992,1.1013336,-5.1642914,8.283936
1051613392,1.0797882,-5.1451416,8.377319
1056679310,1.074997,-5.1882324,8.511383
1061714711,1.0821838,-5.286392,8.633499
1066750111,1.0965424,-5.3534393,8.734055
1071785511,1.1061249,-5.4252625,8.781937
1076820912,1.1037292,-5.444412,8.810669
1081886830,1.0295105,-5.4180756,8.827423
1086922230,0.9576874,-5.4683533,8.841782
1091957630,0.9361267,-5.5162354,8.796295
1096993031,0.99598694,-5.549759,8.822632
1102028431,1.0773926,-5.5449677,8.865723
1107094349,1.1468201,-5.549759,8.884888
1112129750,1.154007,-5.6072235,8.822632
1117165150,1.1061249,-5.63356,8.724472
1122200550,1.0175323,-5.65271,8.590393
1127235951,0.89064026,-5.6670685,8.382095
1132271351,0.7852936,-5.7029877,8.147476
1137337269,0.6871338,-5.6790466,8.0229645
1142372670,0.5817871,-5.6622925,7.953537
1147408070,0.5171509,-5.6263733,7.9152374
1152443470,0.5123596,-5.5449677,7.917618
1157478871,0.5386963,-5.439621,7.94635
1162544789,0.59376526,-5.33667,8.018188
1167580189,0.6201019,-5.293579,8.118744
1172615589,0.62249756,-5.281616,8.219299
1177650990,0.6248932,-5.3055573,8.336609
1182686390,0.57699585,-5.3845673,8.497025
1187752308,0.5698242,-5.5593414,8.609543
1192787709,0.57699585,-5.738907,8.705322
1197823109,0.5985565,-6.004654,8.817841
1202858509,0.59376526,-6.2560425,8.997406
1207893910,0.62249756,-6.495468,9.136276
1212959828,0.66319275,-6.696579,9.2200775
1217995228,0.65122986,-6.8809357,9.215286
1223030628,0.60572815,-7.0221863,9.1458435
1228066029,0.5195465,-7.1059875,9.050079
1233101429,0.4333496,-7.0988007,8.91362
1238136830,0.36631775,-7.012619,8.760391
1243202748,0.29927063,-6.9072723,8.57843
1248238148,0.25138855,-6.7731934,8.391678
1253273548,0.21548462,-6.62236,8.283936
1258308949,0.19392395,-6.430832,8.209717
1263344349,0.16041565,-6.217743,8.152252
1268410267,0.15083313,-6.009445,8.169022
1273445668,0.16041565,-5.882553,8.214508
1278481068,0.24420166,-5.858612,8.238449
1283516468,0.34954834,-5.877762,8.315063
1288551869,0.44293213,-5.9974823,8.475479
1293587269,0.54348755,-6.1961975,8.626312
1298653187,0.62727356,-6.442795,8.736435
1303688587,0.68473816,-6.696579,8.877701
1308723988,0.74938965,-6.8330536,9.023743
1313759388,0.79008484,-6.890518,9.093185
1318794789,0.8307953,-6.9072723,9.076416
1323860707,0.8427582,-6.847412,9.018951
1328896107,0.7972717,-6.7731934,8.930374
1333931507,0.7158661,-6.677429,8.796295
1338966908,0.60572815,-6.550537,8.705322
1344002308,0.51475525,-6.387726,8.587997
1349068226,0.4237671,-6.1914062,8.463501
1354103627,0.3471527,-5.9879,8.303085
1359139027,0.27293396,-5.798752,8.142685
1364174427,0.2346344,-5.6479187,8.032547
1369209828,0.19392395,-5.506668,7.941574
1374245228,0.20111084,-5.3749847,7.9080505
1379311146,0.24899292,-5.2792206,7.8841095
1384346546,0.3327942,-5.202606,7.8960724
1389381947,0.42616272,-5.1331635,7.9750824
1394417347,0.55784607,-5.0852814,8.092407
1399452748,0.7110748,-5.094864,8.24324
1404518666,0.8738861,-5.1571045,8.396469
1409554066,1.0366821,-5.3151245,8.525757
1414589466,1.2402039,-5.55455,8.638275
1419624867,1.4604645,-5.7819977,8.767563
1424660267,1.6735535,-5.8945312,8.860947
1429726185,1.869873,-5.9184723,8.801086
1434761586,2.039856,-5.8442535,8.6311035
1439796986,2.130844,-5.736511,8.418015
1444832386,2.1619568,-5.597641,8.116348
1449867787,2.094925,-5.4683533,7.8242493
1454903187,1.948883,-5.3031616,7.5441284
1459969105,1.7597351,-5.118805,7.3047028
1465004505,1.6017151,-4.9009247,7.0413513
1470039906,1.4772186,-4.730942,6.813904
1475075306,1.3742676,-4.616028,6.7157288
1480110707,1.2952576,-4.5202484,6.792343
1485176625,1.2713165,-4.498703,7.0341644
1490212025,1.3096313,-4.5010986,7.266403
1495247425,1.4125824,-4.541794,7.4531555
1500282826,1.5155334,-4.675873,7.5489197
1505318226,1.6160889,-4.8362885,7.642288
1510353627,1.663971,-4.9990997,7.7691803
1515419545,1.7022705,-5.106827,7.862564
1520454945,1.7357941,-5.1595,7.898468
1525490345,1.7597351,-5.1571045,7.8697357
1530525746,1.7788849,-5.106827,7.8290405
1535561146,1.7573395,-5.0972595,7.800308
1540627064,1.7453766,-5.1140137,7.833832
1545662464,1.7741089,-5.205002,7.9583282
1550697865,1.8531189,-5.422867,8.130707
1555733265,2.015915,-5.707779,8.343796
1560768666,2.2313995,-5.985504,8.587997
1565834584,2.5163116,-6.179428,8.781937
1570869984,2.7892456,-6.222534,8.882492
1575905384,3.0071106,-6.138733,8.904037
1580940785,3.1172485,-5.762848,8.846573
1585976185,3.1555634,-5.1595,8.57843
1591042103,3.1292267,-4.5801086,8.087616
1596077503,3.055008,-4.098877,7.498642
1601112904,2.9113464,-3.8403015,6.9862823
1606148304,2.731781,-3.8019867,6.653488
1611183705,2.5641937,-4.003113,6.4571686
1616249623,2.446869,-4.4532166,6.2752075
1621285023,2.3151855,-5.0828857,6.200989
1626320423,2.1691437,-5.6311646,6.4691315
1631355824,2.070984,-6.0214233,7.1443024
1636391224,1.9632416,-6.193802,7.984665
1641457142,1.8291626,-6.205765,8.762772
1646492543,1.6256561,-6.095642,9.303864
1651527943,1.3407593,-5.9232483,9.66539
1656563343,1.019928,-5.700592,9.84256
1661598744,0.7398071,-5.4085083,9.926361
1666664662,0.58657837,-5.094864,9.950302
1671700062,0.5386963,-4.8674164,9.876083
1676735462,0.5961609,-4.668701,9.751587
1681770863,0.72065735,-4.4604034,9.636658
1686806263,0.885849,-4.232956,9.569626
1691872181,1.0869751,-4.0653534,9.31105
1696907582,1.2832947,-4.0940857,9.045288
1701942982,1.4341278,-4.2353363,9.01178
1706978382,1.5083466,-4.4172974,9.095566
1712013783,1.5873566,-4.620804,9.114731
1717079701,1.6927032,-4.888962,9.059662
1722115101,1.7788849,-5.228943,8.880096
1727150502,1.8842316,-5.635956,8.767563
1732185902,2.0135193,-6.004654,8.7699585
1737221302,2.2074585,-6.2943573,8.817841
1742287220,2.4540558,-6.423645,8.904037
1747322621,2.70784,-6.38533,8.99501
1752358021,2.9736023,-6.2129517,9.088394
1757393421,3.162735,-5.9902954,9.162613
1762428822,3.2130127,-5.786789,9.193741
1767494740,3.138794,-5.580887,9.234436
1772530140,2.9664154,-5.3893433,9.308655
1777565541,2.7724915,-5.1523285,9.370911
1782600941,2.6216583,-4.9081116,9.349365
1787636341,2.5306702,-4.6543274,9.265564
1792702259,2.4373016,-4.4604034,9.133881
1797737660,2.3726501,-4.2880096,9.021347
1802773060,2.324768,-4.1371765,8.880096
1807808461,2.2936401,-3.9791565,8.698135
1812874378,2.2337952,-3.8929749,8.549698
1817909779,2.1212616,-3.8690338,8.504211
1822945179,1.9440918,-3.902542,8.501816
1827980580,1.7573395,-3.897766,8.525757
1833015980,1.5897522,-4.098877,8.307877
1838081898,1.3766632,-4.616028,8.176193
1843117298,1.1348572,-4.9943085,8.307877
1848152699,0.97683716,-5.183441,8.53772
1853188099,0.9241638,-5.1954193,8.796295
1858223500,0.9169769,-5.190628,8.889679
1863289418,0.9911957,-5.2911835,8.870514
1868324818,1.0941467,-5.4731445,8.813049
1873360218,1.1994934,-5.657501,8.851364
1878395619,1.335968,-5.793976,8.892059
1883431019,1.4628601,-5.8442535,8.920792
1888496937,1.5370789,-5.8681946,8.942337
1893532337,1.5322876,-5.851425,8.992615
1898567738,1.4868011,-5.8298798,9.028534
1903603138,1.4604645,-5.7772064,9.047684
1908669056,1.4484863,-5.6431274,9.085999
1913704457,1.4796143,-5.506668,9.093185
1918739857,1.5083466,-5.3893433,9.057266
1923775257,1.5682068,-5.31752,8.930374
1928810658,1.6496124,-5.2504883,8.810669
1933876576,1.7333984,-5.190628,8.693344
1938911976,1.8387451,-5.123596,8.590393
1943947377,1.95607,-5.0924683,8.494629
