offsetNano,x,y,z
1002045597,1.5227051,-4.266464,8.604767
1007080997,1.493988,-4.2281647,8.59758
1012146915,1.4389191,-4.2712555,8.542511
1017182315,1.3838501,-4.3670197,8.520966
1022217716,1.3287811,-4.48674,8.576035
1027253116,1.3000488,-4.5801086,8.681381
1032288517,1.2737122,-4.6830597,8.765167
1037354435,1.2497711,-4.7812195,8.837006
1042389835,1.201889,-4.874588,8.889679
1047425235,1.1468201,-4.9320526,8.889679
1052460636,1.0558472,-4.972763,8.803482
1057526554,0.93852234,-4.991913,8.712494
1062561954,0.79248047,-4.965576,8.590393
1067597354,0.64404297,-4.8722076,8.45871
1072632755,0.5482788,-4.697418,8.350983
1077668155,0.4980011,-4.481949,8.271973
1082703556,0.4620819,-4.26886,8.233658
1087769474,0.47883606,-4.027054,8.248032
1092804874,0.50038147,-3.8714294,8.315063
1097840274,0.55545044,-3.916916,8.358154
1102875675,0.6177063,-4.201828,8.408432
1107911075,0.7182617,-4.6782684,8.542511
1112976993,0.9289551,-5.207382,8.7699585
1118012394,1.2306213,-5.6622925,9.042908
1123047794,1.5466614,-5.9663544,9.31105
1128083194,1.7932587,-6.198593,9.502594
1133118595,1.9440918,-6.380554,9.536102
1138184513,1.9440918,-6.5409546,9.440338
1143219913,1.8507233,-6.648697,9.255981
1148255313,1.6974945,-6.7540436,8.987839
1153290714,1.5490417,-6.79953,8.678986
1158326114,1.4197693,-6.763626,8.429977
1163392032,1.3263855,-6.569687,8.248032
1168427433,1.233017,-6.327881,8.109161
1173462833,1.1348572,-6.033386,7.905655
1178498233,0.96965027,-5.6479187,7.8362274
1183533634,0.7589569,-5.207382,7.7332764
1188599552,0.5171509,-4.8769836,7.570465
1193634952,0.28730774,-4.747696,7.486664
1198670353,0.06703186,-4.833893,7.5848236
1203705753,-0.04548645,-5.125992,7.7979126
1208741153,-0.02154541,-5.5760956,8.116348
1213807071,0.15562439,-6.0788727,8.475479
1218842472,0.44293213,-6.5050507,8.815445
1223877872,0.8164215,-6.8210754,9.133881
1228913272,1.1348572,-6.952759,9.351746
1233979190,1.3551178,-6.9431915,9.399643
1239014591,1.395813,-6.87854,9.26796
1244049991,1.2689209,-6.703766,8.990234
1249085392,1.0127411,-6.4332275,8.643066
1254120792,0.73501587,-6.1411285,8.145081
1259186710,0.45729065,-5.9184723,7.5489197
1264222110,0.22265625,-5.798752,7.019806
1269257511,0.04788208,-5.7269287,6.739685
1274292911,-0.05986023,-5.695801,6.744461
1279328311,-0.09815979,-5.81073,6.909668
1284394229,-0.03112793,-5.949585,7.158661
1289429630,0.08140564,-6.1267548,7.558502
1294465030,0.22026062,-6.3230896,8.073242
1299500431,0.33518982,-6.5648956,8.542511
1304535831,0.4740448,-6.794739,8.935165
1309601749,0.6177063,-6.964737,9.222458
1314637149,0.7757263,-7.0221863,9.392456
1319672550,0.9169769,-6.9982452,9.5169525
1324707950,1.0486603,-6.9240265,9.538498
1329743351,1.1827393,-6.813904,9.449921
1334809269,1.3144226,-6.6582794,9.327805
1339844669,1.4676514,-6.387726,9.179367
1344880069,1.5897522,-6.011841,8.942337
1349915470,1.6472168,-5.645523,8.576035
1354950870,1.5945435,-5.2433014,8.178589
1360016788,1.4341278,-4.826706,7.8170624
1365052188,1.2162476,-4.395752,7.4531555
1370087589,1.0031738,-4.000717,7.122757
1375122989,0.79008484,-3.746933,6.8402405
1380188907,0.6081238,-3.6990356,6.6151733
1385224308,0.50038147,-3.8809967,6.5840607
1390259708,0.5027771,-4.2353363,6.739685
1395295108,0.6081238,-4.680664,7.048523
1400330509,0.83317566,-5.1642914,7.5441284
1405396427,1.1276703,-5.700592,8.1019745
1410431827,1.4676514,-6.2033844,8.702927
1415467228,1.8411407,-6.6822205,9.200912
1420502628,2.2194214,-7.0461426,9.543289
1425538028,2.5474243,-7.2161255,9.773132
1430603946,2.8227692,-7.2352753,9.8138275
1435639347,2.999939,-7.1562653,9.653427
1440674747,3.0980988,-6.952759,9.366119
1445710147,3.0669708,-6.6103973,9.054871
1450745548,2.9903564,-6.1219788,8.678986
1455811466,2.8874054,-5.578491,8.252808
1460846866,2.7772675,-4.9990997,7.862564
1465882267,2.652771,-4.4172974,7.5561066
1470917667,2.537857,-3.940857,7.2568207
1475983585,2.4492645,-3.6655273,6.9910736
1481018985,2.4253235,-3.5673676,6.87854
1486054386,2.47081,-3.6655273,7.019806
1491089786,2.6360168,-3.8762054,7.3741455
1496125186,2.8682556,-4.1683044,7.8481903
1501191104,3.1723175,-4.4771576,8.28154
1506226505,3.5003204,-4.673477,8.671799
1511261905,3.8283234,-4.7405243,8.944733
1516297306,4.0892944,-4.8410797,8.944733
1521332706,4.316742,-5.1954193,8.523361
1526398624,4.462799,-5.6383514,8.269577
1531434024,4.5202484,-6.1028137,8.43956
1536469425,4.577713,-6.4284363,8.702927
1541504825,4.675873,-6.8043213,8.652649
1546570743,4.723755,-7.1203613,8.892059
1551606144,4.7572784,-7.127533,9.253586
1556641544,4.7261505,-6.9790955,9.416397
1561676944,4.5729218,-6.8522034,9.449921
1566712345,4.3430786,-6.5648956,9.411606
1571778263,4.11084,-6.114792,9.363724
1576813663,3.9264984,-5.5162354,9.165009
1581849063,3.7493134,-4.9823303,8.762772
1586884464,3.5601807,-4.5274353,8.267181
1591950382,3.2776642,-4.1850586,7.874527
1596985782,2.913742,-4.0174713,7.5968018
1602021183,2.6384125,-4.0342255,7.2520447
1607056583,2.47081,-4.09169,6.921631
1612091983,2.3439178,-4.1850586,6.895294
1617157901,2.2002716,-4.3981476,6.9719086
1622193302,2.1260529,-4.7620697,7.05571
1627228702,2.106903,-5.149933,7.151474
1632264103,2.1140747,-5.434845,7.1849976
1637299503,2.1021118,-5.6072235,7.2640076
1642365421,2.0494385,-5.6503143,7.2831573
1647400821,1.9632416,-5.6024323,7.2640076
1652436222,1.8387451,-5.398926,7.2807617
1657471622,1.711853,-5.102051,7.328659
1662537540,1.6208801,-4.776428,7.316681
1667572940,1.5969391,-4.4939117,7.4723053
1672608341,1.6448212,-4.1515503,7.625534
1677643741,1.7214355,-3.8714294,7.656662
1682679142,1.7501678,-3.7565002,7.9272003
1687745060,1.7980499,-3.7660828,8.530548
1692780460,1.9129639,-3.7732544,8.868118
1697815860,2.1092987,-3.6798859,8.777145
1702851261,2.2840729,-3.541031,8.501816
1707886661,2.2984314,-3.4955292,8.1809845
1712952579,2.2744904,-3.557785,7.9200134
1717987979,2.2912445,-3.7014313,7.740448
1723023380,2.367859,-3.9456482,7.6901703
1728058780,2.434906,-4.232956,7.7931213
1733094181,2.4732056,-4.450821,8.106766
1738160099,2.54982,-4.608841,8.664612
1743195499,2.7174225,-4.826706,9.3302
1748230899,3.0454254,-5.0589447,9.88327
1753266300,3.344696,-5.178665,10.426743
1758301700,3.5505981,-5.288788,11.123459
1763367618,3.691864,-5.659897,11.9758
1768403019,3.9863434,-6.1530914,12.82814
1773438419,4.3933563,-6.5074463,13.474564
1778473819,4.7812195,-6.679825,13.680466
1783509220,5.0302124,-6.9790955,12.852081
1788575138,4.989517,-7.5991974,15.373169
1793610538,4.783615,-7.13472,11.856094
1798645938,3.9719849,-6.6941833,6.14592
1803681339,2.9664154,-6.3470306,6.1914062
1808716739,2.0183105,-6.3470306,8.410828
1813782657,2.8275452,-6.380554,10.103531
1818818058,4.285614,-5.55455,12.660538
1823853458,5.6263733,-4.929657,13.400345
1828888858,5.8873444,-5.245697,12.155365
1833924259,5.319916,-5.525818,10.558426
1838990177,4.371811,-5.4180756,9.713272
1844025577,3.5051117,-4.888962,9.564835
1849060978,3.1124573,-4.079727,9.641449
1854096378,3.0980988,-3.0980988,9.672577
1859131778,3.1747131,-2.2385712,9.411606
1864197696,3.2393494,-1.8243866,9.023743
1869233097,3.3423004,-1.4197693,8.767563
1874268497,3.4979248,-0.5386963,8.686157
1879303897,3.6415863,0.37828064,8.6358795
1884369815,3.799591,0.7254486,8.348587
1889405216,3.909729,0.5315094,8.133102
1894440616,3.8570557,0.21786499,8.453934
1899476017,3.6200256,-0.4189911,8.45871
1904511417,3.2992096,-1.742981,7.589615
1909577335,2.9233246,-3.4931335,6.430832
1914612735,2.616867,-5.1092224,5.65271
1919648136,2.379837,-6.3829346,5.499481
1924683536,2.3056183,-7.244858,5.676651
1929718936,2.442093,-7.7093353,5.8059387
1934784854,2.6695404,-7.898468,5.6479187
1939820255,2.9233246,-7.759613,5.142746
1944855655,3.1411896,-7.3262634,4.5034943
1949891056,3.2872314,-6.921631,4.3071747
1954926456,3.4524384,-6.143524,4.850647
1959992374,3.727768,-4.893753,5.736511
1965027774,3.964798,-3.806778,6.193802
1970063175,3.873825,-3.4979248,6.179428
1975098575,3.4524384,-3.916916,6.06691
1980164493,2.975998,-4.7955933,6.1818237
1985199894,2.6384125,-5.683838,6.679825
1990235294,2.4875793,-6.490677,7.321472
1995270694,2.4756012,-7.2520447,7.970291
2000306095,2.4756012,-7.8362274,8.602371
2005372013,2.4923706,-8.16423,9.17218
2010407413,2.4732056,-8.271973,9.598358
2015442813,2.4516602,-8.1809845,9.861725
2020478214,2.363083,-8.011002,10.053253
2025513614,2.2050629,-7.8457947,10.053253
2030579532,1.9440918,-7.8649597,9.785095
2035614933,1.6400299,-7.996628,9.562439
2040650333,1.3575134,-7.9990234,9.600754
2045685733,1.1707611,-7.922409,9.72525
2050721134,1.1061249,-7.7931213,9.713272
2055787052,1.1252747,-7.6303253,9.737213
2060822452,1.1587982,-7.4938507,9.933548
2065857853,1.2402039,-7.364563,10.292679
2070893253,1.4269409,-7.2400665,10.606308
2075928653,1.6807251,-7.1443024,10.678146
2080964054,1.8602905,-6.914459,10.71405
2086029972,1.8842316,-6.703766,10.716446
2091065372,1.8339539,-6.5960236,10.594345
2096100772,1.6998901,-6.5409546,10.357315
2101136173,1.5274963,-6.4930725,10.165787
2106171573,1.3551178,-6.356613,10.043671
2111237491,1.2282257,-6.107605,9.888046
2116272892,1.1587982,-5.798752,9.758774
2121308292,1.1324615,-5.506668,9.536102
2126343692,1.0845795,-5.2313385,9.3302
2131379093,0.97683716,-5.0541534,9.17218
2136445011,0.8451538,-5.08049,8.985443
2141480411,0.72065735,-5.3342743,8.671799
2146515811,0.5817871,-5.714966,8.334213
2151551212,0.4620819,-6.169861,8.212112
2156586612,0.42855835,-6.4523773,8.492233
2161652530,0.53630066,-6.54335,9.018951
2166687931,0.8738861,-6.4451904,9.557648
2171723331,1.3191986,-6.1961975,9.849747
2176758731,1.6424255,-5.944809,9.979034
2181794132,1.7717133,-5.81073,10.055649
2186860050,1.6927032,-5.774811,10.058044
2191895450,1.5251007,-5.664688,9.990997
2196930851,1.359909,-5.41568,9.840164
2201966251,1.2641449,-5.1523285,9.615112
2207001651,1.1635895,-4.917694,9.42598
2212037052,1.0295105,-4.7070007,9.325409
2217102970,0.89782715,-4.541794,9.337387
2222138370,0.79008484,-4.400543,9.430756
2227173770,0.69911194,-4.2640686,9.591171
2232209171,0.6392517,-4.2880096,9.682159
2237244571,0.5386963,-4.515457,9.574417
2242310489,0.4405365,-4.8985443,9.25119
2247345890,0.3040619,-5.262451,9.052475
2252381290,0.20829773,-5.49469,9.107544
2257416690,0.17477417,-5.5641174,9.272751
2262452091,0.2633667,-5.4085083,9.394852
2267518009,0.35673523,-5.1762695,9.454697
2272553409,0.4237671,-4.9272614,9.385269
2277588810,0.38786316,-4.6279907,9.303864
2282624210,0.25138855,-4.323929,9.291901
2287659610,0.10774231,-3.9863434,9.284714
2292695011,-0.0071868896,-3.6104584,9.258377
2297760929,-0.10055542,-3.2369537,9.241623
2302796329,-0.18435669,-2.975998,9.229645
2307831729,-0.2633667,-2.8730469,9.241623
2312867130,-0.3327942,-2.9400787,9.301468
2317902530,-0.3902588,-3.1411896,9.39006
2322968448,-0.3902588,-3.3614655,9.531311
2328003849,-0.36631775,-3.6008759,9.600754
2333039249,-0.37348938,-3.8833923,9.478638
2338074649,-0.4189911,-4.2233734,9.25119
2343110050,-0.533905,-4.5394135,9.107544
2348175968,-0.6392517,-4.7165833,8.992615
2353211368,-0.69192505,-4.7141876,8.889679
2358246769,-0.6823425,-4.5489807,8.904037
2363282169,-0.6392517,-4.3095703,9.040512
2368317569,-0.50756836,-4.0462036,9.186554
2373352970,-0.34477234,-3.7253723,9.241623
2378418888,-0.21786499,-3.423706,9.215286
2383454288,-0.16758728,-3.1747131,9.150635
2388489688,-0.21308899,-2.9736023,9.076416
2393525089,-0.31124878,-2.8155823,8.971069
2398560489,-0.43095398,-2.683899,8.930374
2403626407,-0.52194214,-2.6072845,8.832214
2408661808,-0.5602417,-2.652771,8.724472
2413697208,-0.5674286,-2.7988281,8.765167
2418732608,-0.52194214,-3.0047302,8.801086
2423798526,-0.48841858,-3.2130127,8.851364
2428833927,-0.43574524,-3.4955292,8.923187
2433869327,-0.36392212,-3.727768,8.968674
2438904728,-0.27772522,-3.8642426,9.014175
2443940128,-0.2346344,-3.885788,9.033325
2449006046,-0.22984314,-3.7972107,9.01178
2454041446,-0.24899292,-3.5984802,8.966293
2459076847,-0.27293396,-3.3662415,8.899246
2464112247,-0.31124878,-3.1052856,8.829819
2469147647,-0.36392212,-2.8706512,8.762772
2474213565,-0.4333496,-2.695877,8.67659
2479248966,-0.4980011,-2.5905304,8.573639
2484284366,-0.57221985,-2.5522156,8.556885
2489319767,-0.61531067,-2.525879,8.604767
2494355167,-0.64164734,-2.5354614,8.741226
2499421085,-0.6033325,-2.5665894,8.908829
2504456485,-0.52194214,-2.568985,9.023743
2509491886,-0.43814087,-2.5881348,9.07402
2514527286,-0.3830719,-2.62883,9.117126
2519562686,-0.36392212,-2.5881348,9.205704
2524628604,-0.30885315,-2.4492645,9.18895
2529664005,-0.24659729,-2.2984314,9.093185
2534699405,-0.2059021,-2.1547852,9.006989
2539734806,-0.21308899,-2.0207062,8.956711
2544800724,-0.22744751,-1.8794556,8.85376
2549836124,-0.23942566,-1.7717133,8.717285
2554871524,-0.24659729,-1.7214355,8.5520935
2559906925,-0.24420166,-1.6807251,8.432373
2564942325,-0.24659729,-1.6304474,8.3797
2570008243,-0.23223877,-1.6376343,8.346191
2575043644,-0.19154358,-1.7836761,8.307877
2580079044,-0.16758728,-1.9943695,8.329422
2585114444,-0.1484375,-2.2361908,8.477875
2590149845,-0.12689209,-2.4684296,8.707718
2595215763,-0.05986023,-2.6695404,9.021347
2600251163,0.05506897,-2.7700958,9.318237
2605286563,0.19871521,-2.7605133,9.574417
2610321964,0.31604004,-2.7150269,9.777924
2615357364,0.39265442,-2.6455994,9.919174
2620423282,0.41659546,-2.5881348,9.943115
2625458683,0.4189911,-2.604889,9.835388
2630494083,0.4189911,-2.6024933,9.6510315
2635529483,0.40701294,-2.54982,9.552872
2640564884,0.40701294,-2.4301147,9.473862
2645630802,0.40701294,-2.3295593,9.263168
2650666202,0.2849121,-2.331955,9.042908
2655701603,0.04309082,-2.489975,8.813049
2660737003,-0.27772522,-2.7653046,8.643066
2665772403,-0.5961609,-3.059784,8.614334
2670838321,-0.8882446,-3.2513275,8.702927
2675873722,-1.0582428,-3.289627,8.798691
2680909122,-1.043869,-3.150772,8.839386
2685944522,-0.9002228,-2.9592285,8.779541
2691010440,-0.6368561,-2.7533264,8.741226
2696045841,-0.31843567,-2.5402527,8.757996
2701081241,0.02154541,-2.3032227,8.820236
2706116642,0.3543396,-1.9967651,8.791504
2711152042,0.6201019,-1.6759338,8.688553
2716217960,0.84036255,-1.450882,8.585602
2721253360,0.99838257,-1.312027,8.528152
2726288761,1.1085205,-1.2689209,8.559265
2731324161,1.2162476,-1.2186432,8.645462
2736359561,1.3407593,-1.0103607,8.604767
2741425479,1.5059509,-0.6248932,8.3940735
2746460880,1.687912,-0.27772522,8.097183
2751496280,1.901001,-0.11013794,7.8362274
2756531681,2.1092987,-0.16998291,7.656662
2761567081,2.355896,-0.4046173,7.565674
2766632999,2.659958,-0.70628357,7.407654
2771668399,2.9664154,-0.99838257,7.1849976
2776703800,3.265686,-1.3024445,7.000641
2781739200,3.509903,-1.5849609,7.0389557
2786805118,3.6894684,-1.8100128,7.3358307
2791840519,3.8953705,-1.95607,7.814682
2796875919,4.1371765,-1.9752197,8.310272
2801911319,4.388565,-1.8962097,8.674194
2806946720,4.639969,-1.7693176,8.896851
2812012638,4.8243103,-1.6065063,9.057266
2817048038,4.953598,-1.4604645,9.2200775
2822083438,5.027817,-1.3215942,9.373306
2827118839,5.0852814,-1.2162476,9.466675
2832154239,5.1283875,-1.1061249,9.481033
2837220157,5.102051,-1.0223236,9.471466
2842255558,5.075714,-0.96965027,9.392456
2847290958,5.027817,-0.89064026,9.370911
2852326358,5.008667,-0.8092346,9.397247
